group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
AVLTree,,,,,15043300.0,ns,1
AVLTree,,,,,25746100.0,ns,2
AVLTree,,,,,36373100.0,ns,3
AVLTree,,,,,49223200.0,ns,4
AVLTree,,,,,61222100.0,ns,5
AVLTree,,,,,70775800.0,ns,6
AVLTree,,,,,87606700.0,ns,7
AVLTree,,,,,95355300.0,ns,8
AVLTree,,,,,110295400.0,ns,9
AVLTree,,,,,130803700.0,ns,10
AVLTree,,,,,134140200.0,ns,11
AVLTree,,,,,145258700.0,ns,12
AVLTree,,,,,158061400.0,ns,13
AVLTree,,,,,190752000.0,ns,14
AVLTree,,,,,179540500.0,ns,15
AVLTree,,,,,199184400.0,ns,16
AVLTree,,,,,204872700.0,ns,17
AVLTree,,,,,218751000.0,ns,18
AVLTree,,,,,232683200.0,ns,19
AVLTree,,,,,237133400.0,ns,20
AVLTree,,,,,266350700.0,ns,21
AVLTree,,,,,265641000.0,ns,22
AVLTree,,,,,280847200.0,ns,23
AVLTree,,,,,293499200.0,ns,24
AVLTree,,,,,308658500.0,ns,25
AVLTree,,,,,358659900.0,ns,26
AVLTree,,,,,338037700.0,ns,27
AVLTree,,,,,344492300.0,ns,28
AVLTree,,,,,356320700.0,ns,29
AVLTree,,,,,366099200.0,ns,30
AVLTree,,,,,394775200.0,ns,31
AVLTree,,,,,392495200.0,ns,32
AVLTree,,,,,404724200.0,ns,33
AVLTree,,,,,420069400.0,ns,34
AVLTree,,,,,458653300.0,ns,35
AVLTree,,,,,437519900.0,ns,36
AVLTree,,,,,453687200.0,ns,37
AVLTree,,,,,459639000.0,ns,38
AVLTree,,,,,478028200.0,ns,39
AVLTree,,,,,511387000.0,ns,40
AVLTree,,,,,509921100.0,ns,41
AVLTree,,,,,536469800.0,ns,42
AVLTree,,,,,526777800.0,ns,43
AVLTree,,,,,538876000.0,ns,44
AVLTree,,,,,554412800.0,ns,45
AVLTree,,,,,564524800.0,ns,46
AVLTree,,,,,575256500.0,ns,47
AVLTree,,,,,620958900.0,ns,48
AVLTree,,,,,605590300.0,ns,49
AVLTree,,,,,620142700.0,ns,50
AVLTree,,,,,637305700.0,ns,51
AVLTree,,,,,632818900.0,ns,52
AVLTree,,,,,673009400.0,ns,53
AVLTree,,,,,653503900.0,ns,54
AVLTree,,,,,674292000.0,ns,55
AVLTree,,,,,715027500.0,ns,56
AVLTree,,,,,689153600.0,ns,57
AVLTree,,,,,734277400.0,ns,58
AVLTree,,,,,718226300.0,ns,59
AVLTree,,,,,749190800.0,ns,60
AVLTree,,,,,745916300.0,ns,61
AVLTree,,,,,789972100.0,ns,62
AVLTree,,,,,777319600.0,ns,63
AVLTree,,,,,775694500.0,ns,64
AVLTree,,,,,816826900.0,ns,65
AVLTree,,,,,804447800.0,ns,66
AVLTree,,,,,834423400.0,ns,67
AVLTree,,,,,849440900.0,ns,68
AVLTree,,,,,854318500.0,ns,69
AVLTree,,,,,852336100.0,ns,70
AVLTree,,,,,884212700.0,ns,71
AVLTree,,,,,942259000.0,ns,72
AVLTree,,,,,1572911000.0,ns,73
AVLTree,,,,,1260879900.0,ns,74
AVLTree,,,,,1427398400.0,ns,75
AVLTree,,,,,1034301900.0,ns,76
AVLTree,,,,,1046094100.0,ns,77
AVLTree,,,,,1022659500.0,ns,78
AVLTree,,,,,1034573100.0,ns,79
AVLTree,,,,,1214139000.0,ns,80
AVLTree,,,,,1201277300.0,ns,81
AVLTree,,,,,1137511800.0,ns,82
AVLTree,,,,,1069621800.0,ns,83
AVLTree,,,,,1114953400.0,ns,84
AVLTree,,,,,1118699900.0,ns,85
AVLTree,,,,,1088047100.0,ns,86
AVLTree,,,,,1115741900.0,ns,87
AVLTree,,,,,1222273200.0,ns,88
AVLTree,,,,,1397241000.0,ns,89
AVLTree,,,,,1300316600.0,ns,90
AVLTree,,,,,1798482700.0,ns,91
AVLTree,,,,,1164912400.0,ns,92
AVLTree,,,,,1160770400.0,ns,93
AVLTree,,,,,1155871600.0,ns,94
AVLTree,,,,,1172922700.0,ns,95
AVLTree,,,,,1225833600.0,ns,96
AVLTree,,,,,1198808600.0,ns,97
AVLTree,,,,,1251480100.0,ns,98
AVLTree,,,,,1220789300.0,ns,99
AVLTree,,,,,1261598900.0,ns,100
