group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
BinaryTree,,,,,2065800.0,ns,1
BinaryTree,,,,,3153700.0,ns,2
BinaryTree,,,,,5739900.0,ns,3
BinaryTree,,,,,9055900.0,ns,4
BinaryTree,,,,,9024800.0,ns,5
BinaryTree,,,,,9960400.0,ns,6
BinaryTree,,,,,15064900.0,ns,7
BinaryTree,,,,,14324300.0,ns,8
BinaryTree,,,,,16093200.0,ns,9
BinaryTree,,,,,16677000.0,ns,10
BinaryTree,,,,,19449400.0,ns,11
BinaryTree,,,,,25395300.0,ns,12
BinaryTree,,,,,21720800.0,ns,13
BinaryTree,,,,,24676400.0,ns,14
BinaryTree,,,,,26432600.0,ns,15
BinaryTree,,,,,30152900.0,ns,16
BinaryTree,,,,,37082000.0,ns,17
BinaryTree,,,,,31385700.0,ns,18
BinaryTree,,,,,32203100.0,ns,19
BinaryTree,,,,,33925200.0,ns,20
BinaryTree,,,,,36120900.0,ns,21
BinaryTree,,,,,37758500.0,ns,22
BinaryTree,,,,,48606000.0,ns,23
BinaryTree,,,,,49551300.0,ns,24
BinaryTree,,,,,50064400.0,ns,25
BinaryTree,,,,,51818000.0,ns,26
BinaryTree,,,,,47549400.0,ns,27
BinaryTree,,,,,50652800.0,ns,28
BinaryTree,,,,,53129900.0,ns,29
BinaryTree,,,,,54115100.0,ns,30
BinaryTree,,,,,58263800.0,ns,31
BinaryTree,,,,,58030300.0,ns,32
BinaryTree,,,,,55991300.0,ns,33
BinaryTree,,,,,60509200.0,ns,34
BinaryTree,,,,,61747000.0,ns,35
BinaryTree,,,,,65126700.0,ns,36
BinaryTree,,,,,66339700.0,ns,37
BinaryTree,,,,,68931200.0,ns,38
BinaryTree,,,,,67078800.0,ns,39
BinaryTree,,,,,69675900.0,ns,40
BinaryTree,,,,,70704800.0,ns,41
BinaryTree,,,,,72009300.0,ns,42
BinaryTree,,,,,74962300.0,ns,43
BinaryTree,,,,,76741400.0,ns,44
BinaryTree,,,,,82749000.0,ns,45
BinaryTree,,,,,83506100.0,ns,46
BinaryTree,,,,,82954200.0,ns,47
BinaryTree,,,,,89684000.0,ns,48
BinaryTree,,,,,86826100.0,ns,49
BinaryTree,,,,,118533400.0,ns,50
BinaryTree,,,,,93420800.0,ns,51
BinaryTree,,,,,89383100.0,ns,52
BinaryTree,,,,,90382700.0,ns,53
BinaryTree,,,,,92825600.0,ns,54
BinaryTree,,,,,98145000.0,ns,55
BinaryTree,,,,,97115100.0,ns,56
BinaryTree,,,,,122028400.0,ns,57
BinaryTree,,,,,119628700.0,ns,58
BinaryTree,,,,,125238800.0,ns,59
BinaryTree,,,,,119943600.0,ns,60
BinaryTree,,,,,119562500.0,ns,61
BinaryTree,,,,,107690000.0,ns,62
BinaryTree,,,,,109948600.0,ns,63
BinaryTree,,,,,112992800.0,ns,64
BinaryTree,,,,,112402300.0,ns,65
BinaryTree,,,,,120567000.0,ns,66
BinaryTree,,,,,116669300.0,ns,67
BinaryTree,,,,,118882500.0,ns,68
BinaryTree,,,,,126201000.0,ns,69
BinaryTree,,,,,125295700.0,ns,70
BinaryTree,,,,,122071700.0,ns,71
BinaryTree,,,,,126937700.0,ns,72
BinaryTree,,,,,125333200.0,ns,73
BinaryTree,,,,,141928200.0,ns,74
BinaryTree,,,,,135368800.0,ns,75
BinaryTree,,,,,134079900.0,ns,76
BinaryTree,,,,,132087700.0,ns,77
BinaryTree,,,,,142815000.0,ns,78
BinaryTree,,,,,135926200.0,ns,79
BinaryTree,,,,,138277100.0,ns,80
BinaryTree,,,,,140663800.0,ns,81
BinaryTree,,,,,151747400.0,ns,82
BinaryTree,,,,,148075300.0,ns,83
BinaryTree,,,,,151421800.0,ns,84
BinaryTree,,,,,160640000.0,ns,85
BinaryTree,,,,,168339600.0,ns,86
BinaryTree,,,,,164872400.0,ns,87
BinaryTree,,,,,190494500.0,ns,88
BinaryTree,,,,,207172600.0,ns,89
BinaryTree,,,,,184614600.0,ns,90
BinaryTree,,,,,191457200.0,ns,91
BinaryTree,,,,,179324200.0,ns,92
BinaryTree,,,,,161633900.0,ns,93
BinaryTree,,,,,174515900.0,ns,94
BinaryTree,,,,,164452500.0,ns,95
BinaryTree,,,,,166498800.0,ns,96
BinaryTree,,,,,169289000.0,ns,97
BinaryTree,,,,,169055800.0,ns,98
BinaryTree,,,,,172833800.0,ns,99
BinaryTree,,,,,184011800.0,ns,100
